Country Name,Country Code,Time,Time Code,Completion rate primary education adjusted gender parity index (GPIA) [UIS.CR.1.GPIA],Completion rate primary education adjusted location parity index (LPIA) [UIS.CR.1.LPIA],Completion rate primary education adjusted wealth parity index (WPIA) [UIS.CR.1.WPIA],Completion rate primary education both sexes (%) [UIS.CR.1],Completion rate primary education rural both sexes (%) [UIS.CR.1.RUR],Completion rate primary education urban both sexes (%) [UIS.CR.1.URB],Enrolment in primary education both sexes (number) [SE.PRM.ENRL],Government expenditure on education as % of GDP (%) [SE.XPD.TOTL.GD.ZS],Government expenditure on primary education constant PPP$ (millions) [UIS.X.PPPCONST.1.FSGOV],Government expenditure on education not specified by level constant PPP$ (millions) [UIS.X.PPPCONST.UK.FSGOV],Gross enrolment ratio primary both sexes (%) [SE.PRM.ENRR],Gross enrolment ratio primary gender parity index (GPI) [SE.ENR.PRIM.FM.ZS],Percentage of qualified teachers in primary education both sexes (%) [UIS.QUTP.1],Proportion of primary schools with access to basic drinking water (%) [UIS.SCHBSP.1.WWATA],Proportion of primary schools with access to electricity (%) [UIS.SCHBSP.1.WELEC],Proportion of primary schools with basic handwashing facilities (%) [UIS.SCHBSP.1.WWASH],Proportion of primary schools with access to Internet for pedagogical purposes (%) [UIS.SCHBSP.1.WINTERN],Proportion of primary schools with access to computers for pedagogical purposes (%) [UIS.SCHBSP.1.WCOMPUT],Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics both sexes (%) [UIS.MATH.PRIMARY],Proportion of students at the end of primary achieving at least a minimum proficiency level in reading adjusted gender parity index (GPIA) [UIS.READ.PRIMARY.GPIA],Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics adjusted gender parity index (GPIA) [UIS.MATH.PRIMARY.GPIA],Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading both sexes (%) [UIS.READ.PRIMARY],Survival rate to the last grade of primary education gender parity index (GPI) [UIS.SR.1.GLAST.GPI],Proportion of teachers with the minimum required qualifications in primary education both sexes (%) [SE.PRM.TCAQ.ZS]
Afghanistan,AFG,2015,YR2015,0.59957,0.67963,0.60171,54.21079,48.08922,70.75815,6199329.0,3.2558,1405.62331,0.0,103.53452,0.68081,,,,,,,,,,,,
Afghanistan,AFG,2016,YR2016,,,,,,,6265011.0,4.22836,1425.77102,0.0,102.48647,0.67937,76.01349,,,2.5548,,,,,,,,
Afghanistan,AFG,2017,YR2017,,,,,,,6350404.0,4.05887,1433.9328,0.0,102.17579,0.67617,76.01306,56.67728,,3.07716,,,,,,,,
Afghanistan,AFG,2018,YR2018,,,,,,,6544906.0,,,,103.99616,0.66691,79.06594,59.62904,,4.63701,,,,,,,,
Afghanistan,AFG,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,2015,YR2015,,,,,,,188371.0,3.43797,681.72752,5.97259,105.54298,1.0313,75.47188,,,,,,,,,,1.00446,
Albania,ALB,2016,YR2016,,,,,,,179564.0,3.96209,,23.30414,105.55386,1.03555,80.28783,,,,,,,,,,1.01023,
Albania,ALB,2017,YR2017,1.01604,0.96692,0.95259,94.95685,93.14397,96.33082,174836.0,3.61172,779.43098,26.78574,107.0466,1.03224,84.12193,,,,,,,,,,1.0177,
Albania,ALB,2018,YR2018,,,,,,,170861.0,,,,106.99342,1.03765,83.61617,54.98747,94.08521,71.02757,46.76692,50.37594,,,,,0.99123,89.92081
Albania,ALB,2019,YR2019,,,,,,,167104.0,,,,104.81274,1.02963,88.12641,53.36077,97.71376,63.32876,50.70873,49.01692,,,,,,
Albania,ALB,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2015,YR2015,,,,,,,3925429.0,,,,115.87784,0.9523,100.0,,,,,,,,,,1.0097,100.0
Algeria,DZA,2016,YR2016,,,,,,,4118362.0,,,,113.8302,0.94972,100.0,,,,,,,,,,1.02348,
Algeria,DZA,2017,YR2017,,,,,,,4283207.0,,,,111.76448,0.95093,100.0,,,,,,,,,,1.02015,
Algeria,DZA,2018,YR2018,,,,,,,4429994.0,,,,109.88282,0.95499,100.0,,,,,,,,,,1.00718,
Algeria,DZA,2019,YR2019,,,,,,,4516571.0,,,,107.33169,0.95585,100.0,,,,,,,,,,,
Algeria,DZA,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,2015,YR2015,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,2016,YR2016,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,2015,YR2015,,,,,,,4164.0,3.28035,,,,,100.0,,,,,,,,,,,100.0
Andorra,AND,2016,YR2016,,,,,,,4248.0,3.23707,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,1.02328,100.0
Andorra,AND,2017,YR2017,,,,,,,4263.0,3.21709,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,100.0
Andorra,AND,2018,YR2018,,,,,,,4325.0,3.24672,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,100.0
Andorra,AND,2019,YR2019,,,,,,,4322.0,3.15162,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,100.0
Andorra,AND,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2015,YR2015,0.89174,0.36599,0.21008,59.8742,27.05703,73.92891,5620915.0,,,,113.47796,0.87413,,,,,,,,,,,,
Angola,AGO,2016,YR2016,,,,,,,,,,,,,62.99999,19.96747,22.35055,,2.70028,7.01911,,,,,,
Angola,AGO,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2015,YR2015,,,,,,,10077.0,,,,104.99062,0.96619,100.0,,,,,,,,,,,65.29161
Antigua and Barbuda,ATG,2016,YR2016,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2017,YR2017,,,,,,,9946.0,,,,103.66896,0.98406,92.9697,98.3871,100.0,98.3871,,,,,,,,55.15152
Antigua and Barbuda,ATG,2018,YR2018,,,,,,,10123.0,,,,105.02127,0.99208,100.0,100.0,100.0,100.0,90.0,90.0,,,,,,52.81863
Antigua and Barbuda,ATG,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,2015,YR2015,,,,,,,4784446.0,5.77611,17913.11918,0.0,111.30341,0.99881,,,95.3246,,37.02269,58.65497,,,,,1.00852,
Argentina,ARG,2016,YR2016,,,,,,97.84,4775782.0,5.54549,16858.44787,0.0,110.73918,0.99764,,,96.47887,,38.33734,61.82755,,,,,1.00389,
Argentina,ARG,2017,YR2017,,,,,,97.13,4753843.0,5.46223,16776.69213,0.0,109.74146,0.99797,,,96.84334,,39.98208,64.51513,,,,,,
Argentina,ARG,2018,YR2018,,,,,,97.47,,,,,,,,,,,,,,,,,,
Argentina,ARG,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,2015,YR2015,,,,,,,144549.0,2.80591,179.91578,60.3494,95.00365,1.01521,,,,,,,54.56382,,1.04447,,0.99585,
Armenia,ARM,2016,YR2016,0.9972,1.00475,0.98667,99.26774,99.54745,99.0743,148481.0,2.75812,189.1639,28.94465,94.5179,1.0089,,,,,,,,,,,0.98884,
Armenia,ARM,2017,YR2017,,,,,,,152134.0,2.70759,187.1431,84.65637,94.08352,1.00321,,,,,,,,,,,0.98366,
Armenia,ARM,2018,YR2018,,,,,,,153415.0,,,,92.71525,0.99961,100.0,,100.0,,100.0,100.0,,,,,1.02268,
Armenia,ARM,2019,YR2019,,,,,,,154409.0,,,,91.84506,1.00534,100.0,99.84508,100.0,,100.0,100.0,,,,,,73.62439
Armenia,ARM,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,2015,YR2015,,,,,,,,5.97571,55.41152,35.3921,,,,,,,,,,,,,,
Aruba,ABW,2016,YR2016,,,,,,,,5.52415,60.38347,33.22277,,,,,,,,,,,,,,
Aruba,ABW,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
